Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,itching,skin rash,skin bumps,discolored skin patches,,,,,,,,,,,,,
Fungal infection,skin rash,skin bumps,discolored skin patches,,,,,,,,,,,,,,
Fungal infection,itching,skin bumps,discolored skin patches,,,,,,,,,,,,,,
Fungal infection,itching,skin rash,discolored skin patches,,,,,,,,,,,,,,
Fungal infection,itching,skin rash,skin bumps,,,,,,,,,,,,,,
Fungal infection,skin rash,skin bumps,discolored skin patches,,,,,,,,,,,,,,
Fungal infection,itching,skin bumps,discolored skin patches,,,,,,,,,,,,,,
Fungal infection,itching,skin rash,discolored skin patches,,,,,,,,,,,,,,
Fungal infection,itching,skin rash,skin bumps,,,,,,,,,,,,,,
Fungal infection,itching,skin rash,skin bumps,discolored skin patches,,,,,,,,,,,,,
Allergy,continuous sneezing,shivering,chills,watery eyes,,,,,,,,,,,,,
Allergy,shivering,chills,watery eyes,,,,,,,,,,,,,,
Allergy,continuous sneezing,chills,watery eyes,,,,,,,,,,,,,,
Allergy,continuous sneezing,shivering,watery eyes,,,,,,,,,,,,,,
Allergy,continuous sneezing,shivering,chills,,,,,,,,,,,,,,
Allergy,shivering,chills,watery eyes,,,,,,,,,,,,,,
Allergy,continuous sneezing,chills,watery eyes,,,,,,,,,,,,,,
Allergy,continuous sneezing,shivering,watery eyes,,,,,,,,,,,,,,
Allergy,continuous sneezing,shivering,chills,,,,,,,,,,,,,,
Allergy,continuous sneezing,shivering,chills,watery eyes,,,,,,,,,,,,,
GERD,stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain,,,,,,,,,,,
GERD,stomach pain,ulcers on tongue,vomiting,cough,chest pain,,,,,,,,,,,,
GERD,stomach pain,acidity,vomiting,cough,chest pain,,,,,,,,,,,,
GERD,stomach pain,acidity,ulcers on tongue,cough,chest pain,,,,,,,,,,,,
GERD,stomach pain,acidity,ulcers on tongue,vomiting,chest pain,,,,,,,,,,,,
GERD,stomach pain,acidity,ulcers on tongue,vomiting,cough,,,,,,,,,,,,
GERD,acidity,ulcers on tongue,vomiting,cough,chest pain,,,,,,,,,,,,
GERD,stomach pain,ulcers on tongue,vomiting,cough,chest pain,,,,,,,,,,,,
GERD,stomach pain,acidity,vomiting,cough,chest pain,,,,,,,,,,,,
GERD,stomach pain,acidity,ulcers on tongue,cough,chest pain,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,,
Chronic cholestasis,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,,,
Chronic cholestasis,itching,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,yellowish skin,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,,,
